,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
155,11:26:01,0:38:17,"(-9.676221555, -0.726672765, 0.191229675)","(43.949999999999996, 10.95, 42.15)"
156,11:26:12,0:38:28,"(-9.676221555, -0.49719715499999995, 0.0)","(44.25, 10.799999999999999, 43.05)"
157,11:26:22,0:38:38,"(-9.56148375, -0.49719715499999995, -0.07649187)","(44.85, 10.2, 42.9)"
158,11:26:33,0:38:49,"(-9.523237815, -0.61193496, 0.038245935)","(45.15, 10.5, 42.0)"
159,11:26:43,0:38:59,"(-9.637975619999999, -0.61193496, 0.038245935)","(46.65, 8.549999999999999, 40.5)"
160,11:26:55,0:39:11,"(-9.56148375, -0.53544309, 0.07649187)","(47.25, 8.1, 41.4)"
161,11:27:05,0:39:21,"(-9.599729685, -0.49719715499999995, 0.0)","(48.3, 8.1, 41.55)"
162,11:27:16,0:39:32,"(-9.599729685, -0.61193496, 0.0)","(48.15, 8.7, 41.4)"
163,11:27:26,0:39:42,"(-9.599729685, -0.61193496, -0.038245935)","(42.449999999999996, 9.9, 40.5)"
164,11:27:37,0:39:53,"(-9.523237815, -0.53544309, 0.0)","(42.449999999999996, 10.65, 40.65)"
165,11:27:47,0:40:3,"(-9.637975619999999, -0.726672765, 0.038245935)","(41.4, 10.049999999999999, 40.8)"
166,11:27:58,0:40:14,"(-7.955154479999999, -2.3712479699999998, 1.109132115)","(47.25, 14.399999999999999, 37.949999999999996)"
167,11:28:08,0:40:24,"(-7.87866261, 3.67160976, 0.9943943099999999)","(47.699999999999996, 5.3999999999999995, 33.3)"
168,11:28:19,0:40:35,"(-9.140778465, -0.114737805, -0.9943943099999999)","(45.75, 2.25, 11.549999999999999)"
169,11:28:29,0:40:45,"(-9.56148375, -1.032640245, -0.9943943099999999)","(47.25, 3.15, 33.9)"
170,11:28:40,0:40:56,"(-7.534449195, -0.879656505, -0.22947561)","(31.5, 33.6, 58.349999999999994)"
171,11:28:52,0:41:8,"(-9.370254075, -2.06528049, -0.38245935)","(48.6, 2.1, 15.899999999999999)"
172,11:29:02,0:41:18,"(-11.01482928, -1.109132115, -0.420705285)","(48.9, 22.05, 12.45)"
173,11:29:13,0:41:29,"(-12.31519107, -3.4421341500000002, -1.4150995949999998)","(48.9, 12.45, 35.85)"
174,11:29:23,0:41:39,"(-9.446745945, -0.7649187, -3.7098556950000003)","(38.25, -15.299999999999999, 27.15)"
175,11:29:34,0:41:50,"(-10.517632125, -0.45895122, -3.021428865)","(40.65, 24.15, -6.3)"
176,11:29:44,0:42:0,"(-11.206058955000001, -1.1856239849999999, -1.5298374)","(43.5, 19.349999999999998, 46.35)"
177,11:29:55,0:42:11,"(-10.900091475, -2.3712479699999998, -1.6063292699999998)","(50.1, 10.2, 19.05)"
178,11:30:05,0:42:22,"(-11.62676424, -0.91790244, -0.650180895)","(45.9, -1.65, 8.85)"
179,11:30:16,0:42:32,"(-9.752713425, -1.1856239849999999, -1.22386992)","(35.699999999999996, 33.9, 49.35)"
180,11:30:26,0:42:43,"(-7.228481715, 0.420705285, -2.562477645)","(33.75, 39.75, 5.85)"
181,11:30:37,0:42:53,"(-11.435534565, -0.30596748, -0.9943943099999999)","(39.0, 32.699999999999996, 43.8)"
182,11:30:48,0:43:4,"(-10.747107734999998, -1.1856239849999999, -2.60072358)","(46.65, 19.05, 37.05)"
183,11:30:58,0:43:14,"(-7.80217074, 0.267721545, -3.633363825)","(46.949999999999996, 3.5999999999999996, 35.25)"
